term|chinese|partOfSpeech|theme|ipa|pronounceAs|exampleEnglish|exampleChinese|sourceSlides
fibrosis|纤维化|noun|clinical|/faɪˈbrəʊsɪs/|fibrosis|Our work studies drug targets in lung fibrosis.|我们的研究探索肺纤维化中的药物靶点。|2,4-19
fibrotic|纤维化的|adjective|clinical|/faɪˈbrɒtɪk/|fibrotic|The combined treatment reduced fibrotic changes.|联合治疗减轻了纤维化改变。|11,15
silicosis|矽肺|noun|clinical|/ˌsɪlɪˈkəʊsɪs/|silicosis|This project examines silica-induced silicosis.|该项目研究二氧化硅诱导的矽肺。|2,4,9-12
bleomycin|博来霉素|noun|clinical|/ˌbliːəˈmaɪsɪn/|bleomycin|We use bleomycin to induce pulmonary fibrosis.|我们使用博来霉素诱导肺纤维化。|2,13-17
fostamatinib|福坦替尼|noun|drug-discovery|/ˌfɒstəˈmætɪnɪb/|fostamatinib|Fostamatinib is used to test the role of Syk.|福坦替尼用于检验Syk的作用。|6-11
samuraciclib|Samuraciclib|noun|drug-discovery|/ˌsæmjʊrəˈsɪklɪb/|samuraciclib|Samuraciclib is used in the later treatment window.|Samuraciclib用于较晚的治疗窗口。|6
macrophage|巨噬细胞|noun|immunology|/ˈmækrəʊfeɪdʒ/|macrophage|Macrophages may start an inflammatory loop.|巨噬细胞可能启动炎症循环。|5,9,12-16
neutrophil|中性粒细胞|noun|immunology|/ˈnjuːtrəfɪl/|neutrophil|IL-1 beta may recruit neutrophils to the lung.|IL-1β可能将中性粒细胞募集到肺部。|9,12
epithelial|上皮的|adjective|cell-biology|/ˌepɪˈθiːliəl/|epithelial|Early PKR activation may cause epithelial injury.|早期PKR激活可能导致上皮损伤。|13-17
alveolar|肺泡的|adjective|cell-biology|/ælˈviːələ/|alveolar|We focus on alveolar macrophages and AT2 cells.|我们关注肺泡巨噬细胞和AT2细胞。|9,12-16
ferroptosis|铁死亡|noun|cell-biology|/ˌferɒpˈtəʊsɪs/|ferroptosis|Lip-1 is used to block ferroptosis.|Lip-1用于阻断铁死亡。|18-20
ischemia|缺血|noun|clinical|/ɪˈskiːmiə/|ischemia|Cold ischemia causes strong cellular stress.|冷缺血会造成强烈的细胞应激。|18-19
reperfusion|再灌注|noun|clinical|/ˌriːpəˈfjuːʒən/|reperfusion|Reperfusion may increase oxidative injury.|再灌注可能加重氧化损伤。|18-19
phosphoproteome|磷酸化蛋白质组|noun|proteomics|/ˌfɒsfəʊˈprəʊtiəʊm/|phosphoproteome|The phosphoproteome helps us study active signalling.|磷酸化蛋白质组帮助我们研究活跃的信号通路。|3-6,19-20
longitudinal|纵向的|adjective|methods|/ˌlɒndʒɪˈtjuːdɪnəl/|longitudinal|The longitudinal data cover several disease stages.|纵向数据覆盖多个疾病阶段。|5,8
metabolic|代谢的|adjective|metabolism|/ˌmetəˈbɒlɪk/|metabolic|Week ten is a major metabolic change point.|第10周是重要的代谢变化节点。|5,7-8
trigger|触发因素|noun|molecular-biology|/ˈtrɪɡə/|trigger|Syk may act as an early trigger.|Syk可能是早期触发因素。|5,8
amplifier|放大因素|noun|molecular-biology|/ˈæmplɪfaɪə/|amplifier|CDK7 may act as a later amplifier.|CDK7可能是后期放大因素。|5,8
prevention|预防|noun|drug-discovery|/prɪˈvenʃən/|prevention|Fostamatinib is tested in the prevention window.|福坦替尼在预防窗口中进行测试。|6
readout|检测指标|noun|methods|/ˈriːdaʊt/|readout|Histology is one of our main readouts.|组织学是我们的主要检测指标之一。|6-7,10-11
preliminary|初步的|adjective|communication|/prɪˈlɪmɪnəri/|preliminary|These are preliminary results and need validation.|这些是初步结果，仍需验证。|7,11,15,17-18
causality|因果关系|noun|methods|/kɔːˈzæləti/|causality|The knockout experiment provides a stronger test of causality.|敲除实验能更有力地检验因果关系。|8,17
cytokine|细胞因子|noun|immunology|/ˈsaɪtəkaɪn/|cytokine|IL-1 beta is an important inflammatory cytokine.|IL-1β是一种重要的炎症细胞因子。|9,12
inflammasome|炎症小体|noun|immunology|/ɪnˈflæməsəʊm/|inflammasome|NLRP3 is a key inflammasome in this model.|NLRP3是该模型中的关键炎症小体。|9,12
NETosis|中性粒细胞胞外诱捕网形成|noun|immunology|/neˈtəʊsɪs/|netosis|NETosis may connect inflammation with fibrosis.|NETosis可能连接炎症与纤维化。|9-12
histology|组织学|noun|methods|/hɪˈstɒlədʒi/|histology|Histology shows a reduction in lung damage.|组织学显示肺损伤有所减轻。|6-7,10-11,15,18
pathology|病理学|noun|clinical|/pəˈθɒlədʒi/|pathology|We will complete blinded pathology scoring.|我们将完成盲法病理评分。|6,11,17
combination|联合方案|noun|drug-discovery|/ˌkɒmbɪˈneɪʃən/|combination|The combination showed the strongest effect.|联合方案显示出最强的效果。|10-12
nucleus|细胞核|noun|cell-biology|/ˈnjuːkliəs/|nucleus|Single-nucleus sequencing is suitable for frozen lung tissue.|单核测序适用于冻存肺组织。|3,10,12
annotation|注释|noun|methods|/ˌænəˈteɪʃən/|annotation|Cell annotation is the first analysis step.|细胞注释是分析的第一步。|12
communication|细胞通讯|noun|cell-biology|/kəˌmjuːnɪˈkeɪʃən/|communication|We will analyse communication between immune cells.|我们将分析免疫细胞之间的通讯。|12
injury|损伤|noun|clinical|/ˈɪndʒəri/|injury|The project studies lung injury and repair.|该项目研究肺损伤与修复。|4,13-19
knockout|基因敲除|noun|molecular-biology|/ˈnɒkaʊt/|knockout|The global knockout provides a genetic test.|全身敲除提供了遗传学检验。|17
peroxidation|过氧化|noun|metabolism|/pəˌrɒksɪˈdeɪʃən/|peroxidation|Lipid peroxidation is a feature of ferroptosis.|脂质过氧化是铁死亡的特征。|19
feasibility|可行性|noun|communication|/ˌfiːzəˈbɪləti/|feasibility|We need to assess the feasibility of the visit project.|我们需要评估访学项目的可行性。|20,22
intervention|干预|noun|drug-discovery|/ˌɪntəˈvenʃən/|intervention|The intervention starts after disease induction.|干预在疾病诱导后开始。|6,10
transition|转变阶段|noun|clinical|/trænˈzɪʃən/|transition|Week ten may represent a disease transition.|第10周可能代表疾病转变阶段。|6
exercise|运动|noun|clinical|/ˈeksəsaɪz/|exercise|Fostamatinib improved an exercise measure.|福坦替尼改善了一项运动指标。|6-7
glucose|葡萄糖|noun|metabolism|/ˈɡluːkəʊs/|glucose|We measured the glucose response at week five.|我们在第5周检测了葡萄糖反应。|6-7
