id,type,rank,dailyPriority,term,chinese,partOfSpeech,theme,ipa,syllables,exampleEnglish,exampleChinese,sourceTitle,sourceDoi,sourceType,sourceSlides,documentFrequency,corpusFrequency
ME-W001,word,1,1,protein,蛋白质,noun,proteomics,/ˈpɹəʊ.ti.ɪn/,pro·tein,We discussed the role of protein in quantitative proteomics.,我们讨论了蛋白质在定量蛋白质组学中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,198,371
ME-W002,word,2,1,cell,细胞,noun,cell-biology,/sɛl/,cell,We discussed the role of cell in cellular pathways.,我们讨论了细胞在细胞通路中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,147,274
ME-W003,word,3,1,activity,活性,noun,methods,/ækˈtɪv.ɪ.ti/,activ·ity,We discussed the role of activity in the experimental workflow.,我们讨论了活性在实验流程中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,105,159
ME-W004,word,4,1,expression,表达,noun,molecular-biology,/əkˈspɹɛʃ.n̩/,ex·pres·sion,We discussed the role of expression in molecular regulation.,我们讨论了表达在分子调控中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,85,146
ME-W005,word,5,1,function,功能,noun,molecular-biology,/ˈfʌŋ(k)ʃən/,func·tion,We discussed the role of function in molecular regulation.,我们讨论了功能在分子调控中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,80,99
ME-W006,word,6,1,ubiquitin,泛素,noun,ubiquitin,/juːˈbɪkwɪtɪn/,ubi·quitin,We discussed the role of ubiquitin in ubiquitin and protease biology.,我们讨论了泛素在泛素和蛋白酶生物学中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,71,152
ME-W007,word,7,1,response,反应,noun,immunology,/ɹɪˈspɒns/,re·sponse,We discussed the role of response in immune responses.,我们讨论了反应在免疫反应中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,71,112
ME-W008,word,8,1,binding,结合,noun,molecular-biology,/ˈbaɪndɪŋ/,bind·ing,We discussed the role of binding in molecular regulation.,我们讨论了结合在分子调控中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,64,120
ME-W009,word,9,1,target,靶点,noun,drug-discovery,/ˈtɑː.ɡɪt/,tar·get,We discussed the role of target in target discovery.,我们讨论了靶点在靶点发现中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,66,96
ME-W010,word,10,1,gene,基因,noun,molecular-biology,/d͡ʒiːn/,gene,We discussed the role of gene in molecular regulation.,我们讨论了基因在分子调控中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,63,102
ME-W011,word,11,1,activation,激活,noun,cell-biology,/ˌæktɪˈveɪʃn̩/,ac·tiv·a·tion,We discussed the role of activation in cellular pathways.,我们讨论了激活在细胞通路中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,57,99
ME-W012,word,12,1,proteomics,蛋白质组学,noun,proteomics,/ˌprəʊtiˈɒmɪks/,pro·teo·m·ics,We discussed the role of proteomics in quantitative proteomics.,我们讨论了蛋白质组学在定量蛋白质组学中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,56,81
ME-W013,word,13,1,inhibition,抑制,noun,drug-discovery,/ɪnhɪˈbɪʃən/,in·hib·i·tion,We discussed the role of inhibition in target discovery.,我们讨论了抑制在靶点发现中的作用。,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,10.1007/s44466-026-00032-6,,,54,94
ME-W014,word,14,1,regulation,调控,noun,molecular-biology,/ˌɹɛɡjʊˈleɪʃən/,reg·u·la·tion,We discussed the role of regulation in molecular regulation.,我们讨论了调控在分子调控中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,54,72
ME-W015,word,15,1,enzyme,酶,noun,protease,/ˈɛn.zaɪm/,en·zyme,We discussed the role of enzyme in protease activity and substrate cleavage.,我们讨论了酶在蛋白酶活性与底物切割中的作用。,Activity-based protein profiling reveals both canonical and novel ubiquitin pathway enzymes in Plasmodium.,10.1371/journal.ppat.1013032,,,53,78
ME-W016,word,16,1,pathway,通路,noun,cell-biology,/ˈpɑːθˌweɪ/,path·way,We discussed the role of pathway in cellular pathways.,我们讨论了通路在细胞通路中的作用。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,50,62
ME-W017,word,17,1,mechanism,机制,noun,communication,/ˈmɛk.ə.nɪ.zəm/,mech·an·ism,We discussed the role of mechanism in the interpretation of the results.,我们讨论了机制在结果解读中的作用。,A systems-based approach to uterine fibroids identifies differential splicing associated with abnormal uterine bleeding.,10.1038/s43856-025-01051-x,,,52,64
ME-W018,word,18,1,domain,结构域,noun,molecular-biology,/ˌdəʊˈmeɪ̯n/,do·main,We discussed the role of domain in molecular regulation.,我们讨论了结构域在分子调控中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,45,74
